,0
1142,424221.31376228
1143,422637.09951710043
1144,421270.1617117889
1145,420115.8060461891
1146,419162.3906559144
1147,418397.6219260012
1148,417797.1936788156
1149,417324.07969759125
1150,416932.5350873107
1151,416581.06708032376
1152,416272.4316851091
1153,416032.0435398535
1154,415871.7286466532
1155,415813.78705125605
1156,415876.4290039707
1157,416064.0532154723
1158,416354.19609665294
1159,416728.0247210026
1160,417168.31373267126
1161,417620.86365063133
1162,418059.6698691668
1163,418467.60394701146
1164,418849.3395899723
1165,419214.27630125213
1166,419614.01625103084
1167,420158.99360762484
1168,420941.5655465945
1169,422091.20631768904
1170,423889.8792112107
1171,426733.85826913273
1172,430848.2463896866
1173,436379.1877367627
1174,443482.51853835426
1175,452036.5043856663
1176,461634.81756008166
1177,472146.0895860237
1178,483571.37228958524
1179,496024.91145938047
1180,509447.5340790809
1181,523710.0257511653
1182,538413.3800481115
1183,552627.8082951885
1184,565390.5807020377
1185,576318.5504584995
1186,585148.0729477712
1187,591939.4248010047
1188,596965.0759192965
1189,600639.2337826481
1190,603664.3789064893
1191,606015.2541388323
1192,607527.1955445256
1193,607886.7292677548
1194,607186.2221755391
1195,605541.09226867
1196,602823.2426959214
1197,598999.8509106023
1198,594230.6721241911
1199,588733.9870539313
1200,582725.6462838756
1201,576251.8423332755
1202,569771.4312309205
1203,563603.3497865737
1204,557703.0433374513
1205,552270.3249211243
1206,547585.2316505406
1207,543795.8605184556
1208,540439.7920679749
1209,537360.0216446532
1210,534703.5935065787
1211,532392.1491841144
1212,530552.8572684876
1213,529669.3039674256
1214,530635.0269041351
1215,534494.175930888
1216,542425.9253267798
1217,555355.7233560459
1218,572936.608842707
1219,593188.521740928
1220,613682.3970406762
1221,632199.2644982649
1222,646908.1556465307
1223,656776.2687252568
1224,661600.2769374907
1225,662727.7085202597
1226,661830.4926857372
1227,660028.2012439404
1228,657896.2112335577
1229,655407.7960352233
1230,652427.8664104851
1231,648858.6476585445
1232,644526.6263313108
1233,639306.1878023372
1234,633189.4941046536
1235,626300.2470131078
1236,618811.3239738335
1237,610865.4886488927
1238,602604.4955772432
1239,594189.8032441745
1240,585799.589112126
1241,577610.2340894385
1242,569760.2642479943
1243,562352.2963834886
1244,555472.2452745193
1245,549131.4814246387
1246,543278.692195986
1247,537802.1571820026
1248,532585.5643448601
1249,527479.8321002031
1250,522275.54741521174
1251,516798.5746198813
1252,510956.6296788763
1253,504741.7339476508
1254,498210.62985505565
1255,491466.32882085716
1256,484682.1843840826
1257,478027.1042786532
1258,471595.2841800715
1259,465445.224002595
1260,459585.79006778594
1261,454015.11434704065
1262,448726.9488782802
1263,443723.6480801765
1264,439019.2476073382
1265,434633.2066967732
1266,430592.4130883433
1267,426927.4027502763
1268,423667.7546192847
1269,420828.7775653224
1270,418406.7791427443
1271,416386.5752591228
1272,414748.06219546724
1273,413461.8881586211
1274,412494.5570455354
1275,411813.3941042594
1276,411380.4657552356
1277,411153.60082872614
1278,411087.0289896357
1279,411141.23331639246
1280,411282.91395797976
1281,411479.84923812636
1282,411712.1438041969
1283,411967.330806409
1284,412238.6213781629
1285,412520.2696960676
1286,412805.4360133666
1287,413088.33452940313
1288,413363.11887190543
1289,413628.75447769073
1290,413875.7970205611
1291,414093.97113176226
1292,414281.84005258814
1293,414439.7102754104
1294,414566.7216832971
1295,414654.95877761097
1296,414710.03654705477
1297,414743.63683328143
1298,414756.9989315321
1299,414751.3100454591
1300,414728.26618028013
1301,414691.91715416854
1302,414644.12857286376
1303,414581.3594197578
1304,414501.58660291246
1305,414406.1778293924
1306,414301.1430148298
1307,414199.31849585776
1308,414130.1808431595
1309,414147.59275958344
1310,414353.5374617328
1311,414954.6198823596
1312,416161.87395069835
1313,418212.968146495
1314,421302.41246243514
1315,425566.32948872104
1316,431058.54255665164
1317,437697.4126379259
1318,445389.334176
1319,453972.6506164032
1320,463246.7845077839
1321,472902.66464215814
1322,482682.4378062542
1323,492265.0315865953
1324,501347.78764349804
1325,509661.639746337
1326,517013.95198819257
1327,523355.88759596384
1328,528585.2118294166
1329,532652.3060873304
1330,535586.7434006854
1331,537508.7164792478
1332,538464.6873859558
1333,538526.9023087854
1334,537849.8358258262
1335,536570.0399800309
1336,534799.3838812727
1337,532655.3043822689
1338,530222.8452417946
1339,527738.2775524397
1340,525291.7300600518
1341,523084.46830952825
1342,521215.11152140837
1343,519690.04560962407
1344,518590.5844843331
1345,517808.17699729797
1346,517330.662791108
1347,517096.49323069776
1348,517062.9600275347
1349,517178.0621473545
1350,517410.99135252024
1351,517725.46781999053
1352,518113.1665870108
1353,518537.7327217374
1354,519003.01115885616
1355,519501.908205115
1356,520045.0092045078
1357,520642.4335538807
1358,521292.81142616225
1359,522033.51626490144
1360,522885.8309670024
1361,523879.21029736684
1362,525128.3614488855
1363,527114.9362747633
1364,530500.7338795613
1365,535914.5024661616
1366,543872.2934164546
1367,554449.4881052041
1368,567328.7088360146
1369,581663.3316100065
1370,596158.7841359255
1371,609571.7867717448
1372,620856.0835901423
1373,629511.9418080021
